Data Set Property,Sorting Algorithm,Number Of Elements,Trial #1,Trial #2,Trial #3,Trial #4,Trial #5,Trial #6
Random,Insertion Sort,2000,0.1809530258178711,0.17701101303100586,0.17671895027160645,0.1630690097808838,0.15477204322814941,0.16469502449035645
Random,Insertion Sort,3000,0.3571169376373291,0.36488986015319824,0.3659820556640625,0.34819912910461426,0.37537360191345215,0.3663749694824219
Random,Insertion Sort,4000,0.6453070640563965,0.6790268421173096,0.6660916805267334,0.64457106590271,0.6378061771392822,0.6652271747589111
Random,Insertion Sort,5000,1.0141570568084717,1.0205070972442627,1.0267589092254639,1.0302507877349854,0.9972400665283203,1.0412189960479736
Random,Insertion Sort,6000,1.5114250183105469,1.4975690841674805,1.45204496383667,1.5925712585449219,1.5334830284118652,1.523339033126831
Random,Insertion Sort,7000,2.0665202140808105,2.0603549480438232,2.218966007232666,2.0710818767547607,2.128412961959839,2.1578598022460938
Random,Insertion Sort,8000,2.786022186279297,2.742995023727417,2.8064208030700684,2.7893431186676025,2.839416980743408,2.7921648025512695
Random,Insertion Sort,9000,3.570146083831787,3.5787510871887207,3.5271480083465576,3.5728089809417725,3.580050230026245,3.603295087814331
Random,Insertion Sort,10000,4.407157897949219,4.569903135299683,4.42181396484375,4.593881845474243,4.460881233215332,4.462043046951294
Few Unique,Quicksort,100,0.0003299713134765625,0.0003180503845214844,0.0003409385681152344,0.0003311634063720703,0.0003287792205810547,0.00034499168395996094
Few Unique,Quicksort,500,0.0020821094512939453,0.0021829605102539062,0.0018389225006103516,0.001961231231689453,0.001990079879760742,0.002145051956176758
Few Unique,Quicksort,1000,0.004739999771118164,0.004875898361206055,0.004721164703369141,0.005766153335571289,0.005458831787109375,0.005204916000366211
Few Unique,Quicksort,2000,0.010669946670532227,0.011115789413452148,0.010400056838989258,0.011551141738891602,0.010030031204223633,0.010589838027954102
Few Unique,Quicksort,3000,0.0170290470123291,0.016389131546020508,0.015696048736572266,0.014646053314208984,0.015873193740844727,0.013361215591430664
Few Unique,Quicksort,4000,0.0196988582611084,0.022716283798217773,0.021162033081054688,0.021517038345336914,0.018580913543701172,0.021527767181396484
Few Unique,Quicksort,5000,0.02662801742553711,0.02731919288635254,0.027525901794433594,0.02611088752746582,0.027304887771606445,0.027495145797729492
Few Unique,Quicksort,6000,0.03357124328613281,0.03616213798522949,0.03301692008972168,0.03397417068481445,0.028688907623291016,0.03340959548950195
Few Unique,Quicksort,7000,0.03441023826599121,0.04064011573791504,0.03967404365539551,0.03861403465270996,0.038346052169799805,0.035809993743896484
Few Unique,Quicksort,8000,0.045797109603881836,0.04447484016418457,0.039977073669433594,0.04031801223754883,0.04427504539489746,0.04469180107116699
Few Unique,Quicksort,9000,0.04976487159729004,0.047739267349243164,0.05062294006347656,0.05309295654296875,0.0498812198638916,0.04296994209289551
Few Unique,Quicksort,10000,0.056587934494018555,0.05915069580078125,0.0588688850402832,0.056381940841674805,0.054549217224121094,0.05003499984741211
Few Unique,Merge Sort,100,0.0002658367156982422,0.00025200843811035156,0.00024580955505371094,0.00023698806762695312,0.0002372264862060547,0.00023698806762695312
Few Unique,Merge Sort,500,0.001790761947631836,0.0014009475708007812,0.0014410018920898438,0.0015900135040283203,0.0016748905181884766,0.0017631053924560547
Few Unique,Merge Sort,1000,0.004015207290649414,0.004029035568237305,0.004028797149658203,0.0045049190521240234,0.00481414794921875,0.0047609806060791016
Few Unique,Merge Sort,2000,0.009535789489746094,0.007668018341064453,0.008118867874145508,0.00927591323852539,0.009067773818969727,0.009194135665893555
Few Unique,Merge Sort,3000,0.012816905975341797,0.014275074005126953,0.014694929122924805,0.014198064804077148,0.013686895370483398,0.012181997299194336
Few Unique,Merge Sort,4000,0.01858687400817871,0.019073009490966797,0.019587039947509766,0.017590999603271484,0.018234968185424805,0.019221067428588867
Few Unique,Merge Sort,5000,0.023208141326904297,0.022845983505249023,0.02532505989074707,0.023504972457885742,0.024111032485961914,0.024409770965576172
Few Unique,Merge Sort,6000,0.025700092315673828,0.029066085815429688,0.0308990478515625,0.03061389923095703,0.028400182723999023,0.030109405517578125
Few Unique,Merge Sort,7000,0.031891822814941406,0.032112836837768555,0.035257816314697266,0.033941030502319336,0.029883861541748047,0.03620624542236328
Few Unique,Merge Sort,8000,0.038017988204956055,0.04151511192321777,0.0418088436126709,0.042533159255981445,0.041517019271850586,0.03951430320739746
Few Unique,Merge Sort,9000,0.043514251708984375,0.041262149810791016,0.04685807228088379,0.04399299621582031,0.04861307144165039,0.04935598373413086
Few Unique,Merge Sort,10000,0.050537109375,0.048300981521606445,0.052985191345214844,0.053170204162597656,0.048448801040649414,0.052838802337646484
Few Unique,Insertion Sort,100,1.811981201171875e-05,1.811981201171875e-05,1.811981201171875e-05,1.7881393432617188e-05,1.71661376953125e-05,1.6927719116210938e-05
Few Unique,Insertion Sort,500,0.008041143417358398,0.007709980010986328,0.00704503059387207,0.00803685188293457,0.007756948471069336,0.007985830307006836
Few Unique,Insertion Sort,1000,0.04184865951538086,0.04125690460205078,0.043077945709228516,0.04185986518859863,0.0446012020111084,0.04336094856262207
Few Unique,Insertion Sort,2000,0.19216012954711914,0.16935110092163086,0.17357802391052246,0.17862796783447266,0.15736913681030273,0.17160391807556152
Few Unique,Insertion Sort,3000,0.3768010139465332,0.3753788471221924,0.3766801357269287,0.37324070930480957,0.36384105682373047,0.3753058910369873
Few Unique,Insertion Sort,4000,0.6852922439575195,0.6871240139007568,0.683635950088501,0.6792411804199219,0.6951291561126709,0.7087268829345703
Few Unique,Insertion Sort,5000,1.0936579704284668,1.0941319465637207,1.071437120437622,1.087393045425415,1.1329751014709473,1.070491075515747
Few Unique,Insertion Sort,6000,1.5997798442840576,1.567453145980835,1.5594940185546875,1.5286049842834473,1.5880959033966064,1.537839651107788
Few Unique,Insertion Sort,7000,2.1481149196624756,2.113039016723633,2.0990281105041504,2.062642812728882,2.1133618354797363,2.0873758792877197
Few Unique,Insertion Sort,8000,2.805539846420288,2.763611078262329,2.789302110671997,2.757706880569458,2.771327018737793,2.703044891357422
Few Unique,Insertion Sort,9000,3.4972949028015137,3.5248477458953857,3.5022761821746826,3.5363471508026123,3.4681708812713623,3.678413152694702
Few Unique,Insertion Sort,10000,4.344270944595337,4.563927173614502,4.35464882850647,4.336915969848633,4.310928821563721,4.3457372188568115
Nearly Sorted,Quicksort,100,0.0008389949798583984,0.0007998943328857422,0.0008587837219238281,0.0008230209350585938,0.0008859634399414062,0.0008618831634521484
